epi_week,date,state,city,ibgeID,newDeaths,deaths,newCases,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases
213,2022-03-28,SP,Campinas/SP,3509502,0,5014,116,149633,409.896,12232.544,0.034
213,2022-03-29,SP,Campinas/SP,3509502,4,5018,461,150094,410.223,12270.231,0.033
213,2022-03-30,SP,Campinas/SP,3509502,2,5020,481,150575,410.387,12309.552,0.033
213,2022-03-31,SP,Campinas/SP,3509502,3,5023,555,151130,410.632,12354.924,0.033
213,2022-04-01,SP,Campinas/SP,3509502,5,5028,477,151607,411.041,12393.919,0.033
213,2022-04-02,SP,Campinas/SP,3509502,4,5032,882,152489,411.368,12466.023,0.033
214,2022-04-03,SP,Campinas/SP,3509502,0,5032,925,153414,411.368,12541.642,0.033
214,2022-04-04,SP,Campinas/SP,3509502,1,5033,69,153483,411.449,12547.282,0.033
214,2022-04-05,SP,Campinas/SP,3509502,2,5035,358,153841,411.613,12576.549,0.033
214,2022-04-06,SP,Campinas/SP,3509502,3,5038,68,153909,411.858,12582.108,0.033
214,2022-04-07,SP,Campinas/SP,3509502,6,5044,117,154026,412.349,12591.673,0.033
214,2022-04-08,SP,Campinas/SP,3509502,6,5050,72,154098,412.839,12597.559,0.033
214,2022-04-09,SP,Campinas/SP,3509502,0,5050,146,154244,412.839,12609.494,0.033
215,2022-04-10,SP,Campinas/SP,3509502,0,5050,8,154252,412.839,12610.148,0.033
215,2022-04-11,SP,Campinas/SP,3509502,0,5050,0,154252,412.839,12610.148,0.033
215,2022-04-12,SP,Campinas/SP,3509502,2,5052,463,154715,413.003,12647.999,0.033
215,2022-04-13,SP,Campinas/SP,3509502,4,5056,206,154921,413.330,12664.839,0.033
215,2022-04-14,SP,Campinas/SP,3509502,3,5059,125,155046,413.575,12675.058,0.033
215,2022-04-15,SP,Campinas/SP,3509502,3,5062,392,155438,413.820,12707.104,0.033
215,2022-04-16,SP,Campinas/SP,3509502,0,5062,0,155438,413.820,12707.104,0.033
216,2022-04-17,SP,Campinas/SP,3509502,0,5062,0,155438,413.820,12707.104,0.033
216,2022-04-18,SP,Campinas/SP,3509502,1,5063,0,155438,413.902,12707.104,0.033
216,2022-04-19,SP,Campinas/SP,3509502,0,5063,0,155438,413.902,12707.104,0.033
216,2022-04-20,SP,Campinas/SP,3509502,1,5064,1009,156447,413.984,12789.590,0.032
216,2022-04-21,SP,Campinas/SP,3509502,0,5064,447,156894,413.984,12826.133,0.032
